File_name,Time,Max. Battery Voltage (V),Min. Battery Voltage (V),Charge Amp Hours (Ah),Load Amp Hours (A),Max Load Current (A),Max. PV Current (A),Max. PV Voltage (V),Min. PV Voltage (V),Batt State of Charge (SOC%),Max Battery Temp,Min Battery Temp,Length of Night (h),ALC,Flags,Date
1.cisdl,23,28.5,26.3,18.65,3.53,1.5,8.5,46.5,0.5,100,6,-1,13,100,b10,2/22/2016
1.cisdl,24,28.5,26.2,4.7,3.42,1.5,3.5,46,0.5,100,8,-4,13,100,b10,2/23/2016
1.cisdl,25,26.9,26.3,1.96,3.64,1.5,1.5,43,0.5,100,3,0,13.16666667,100,b0,2/24/2016
1.cisdl,26,26.7,26.3,2.42,3.73,1.5,0.5,43,0.5,100,3,-1,13.5,100,b0,2/25/2016
1.cisdl,27,28.5,26.2,10.01,3.59,1.5,6.5,46.5,0.5,100,0,-6,13.83333333,100,b10,2/26/2016
1.cisdl,28,28.5,26.3,4.3,2.96,1.5,8,45.5,0.5,100,7,-4,13,100,b10,2/27/2016
1.cisdl,29,28.5,26.3,4.4,3.41,1.5,4,44,0.5,100,19,4,12.66666667,100,b10,2/28/2016
1.cisdl,30,28.5,26.3,4.5,3.96,1.5,1,46.5,0.5,100,14,1,12.83333333,100,b10,2/29/2016
1.cisdl,1,28.5,26.2,4.82,3.47,1.5,3.5,46.5,0.5,100,4,-5,13.16666667,100,b10,3/1/2016
1.cisdl,2,28.5,26.2,4.41,3.17,1.5,4,47,0.5,100,1,-7,12.83333333,100,b10,3/2/2016
1.cisdl,3,28.5,26.2,4.41,3.04,1.5,2,45.5,0.5,100,0,-6,12.5,100,b10,3/3/2016
1.cisdl,4,28.5,26.2,4.65,3.29,1.5,6,46.5,0.5,100,6,-5,12.5,100,b10,3/4/2016
1.cisdl,5,28.5,26.2,4.49,3.21,1.5,4,45.5,0.5,100,9,-5,12.33333333,100,b10,3/5/2016
1.cisdl,6,28.5,26.2,4.48,3.31,1.5,4,45.5,0.5,100,12,-5,12.16666667,100,b10,3/6/2016
1.cisdl,7,28.5,26.3,4.46,3.53,1.5,4,45.5,0.5,100,12,1,12.33333333,100,b10,3/7/2016
1.cisdl,8,28.5,26.3,4.73,4.09,1.5,5,44.5,0.5,100,18,8,12.66666667,100,b10,3/8/2016
1.cisdl,9,28.5,26.4,4.25,3.71,1.5,6,44.5,0.5,100,22,9,12.16666667,100,b10,3/9/2016
1.cisdl,10,26.7,26.3,2.32,4.24,1.5,0.5,42,0.5,100,12,7,12.83333333,100,b0,3/10/2016
1.cisdl,11,28.5,26.3,6.96,3.59,1.5,6,45,0.5,100,9,3,12.33333333,100,b10,3/11/2016
1.cisdl,12,28.5,26.3,4.2,3.14,1.5,4,44.5,0.5,100,14,-1,11.83333333,100,b10,3/12/2016
1.cisdl,13,28.5,26.3,4.59,3.71,1.5,2.5,44,0.5,100,13,3,12,100,b10,3/13/2016
1.cisdl,14,28.5,26.3,4.7,3.95,1.5,1.5,42.5,0.5,100,14,6,12.33333333,100,b10,3/14/2016
1.cisdl,15,27.1,26.4,4.31,3.87,1.5,1,43,0.5,100,12,6,12.33333333,100,b0,3/15/2016
1.cisdl,16,28.5,26.3,4.9,3.87,1.5,7,45,0.5,100,13,5,12.16666667,100,b10,3/16/2016
1.cisdl,17,28.5,26.3,4.21,3.33,1.5,4,45,0.5,100,16,4,11.66666667,100,b10,3/17/2016
1.cisdl,18,28.5,26.3,4.49,3.55,1.5,2.5,44,0.5,100,8,4,11.83333333,100,b10,3/18/2016
1.cisdl,19,28.5,26.3,4.35,3.29,1.5,4,45.5,0.5,100,12,-2,11.66666667,100,b10,3/19/2016
1.cisdl,20,28.5,26.3,4.45,3.22,1.5,3,46,0.5,100,11,-4,11.5,100,b10,3/20/2016
1.cisdl,21,28.5,26.3,4.43,3.25,1.5,7.5,47.5,0.5,100,7,-2,11.5,100,b10,3/21/2016
1.cisdl,22,28.5,26.3,4.39,3.3,1.5,5,45,0.5,100,12,-2,11.5,100,b10,3/22/2016
17.cisdl,1,28.5,26.9,0.78,0,1.5,0.5,47.5,0.5,100,17,2,13,100,b10011,
17.cisdl,2,28.5,26.7,0.93,0,1.5,0.5,46,0.5,100,4,-4,13.33333333,100,b10,
17.cisdl,3,28.5,26.7,0.95,0,1.5,0.5,47,0.5,100,2,-6,13,100,b10,
17.cisdl,4,28.5,26.7,0.98,0,1.5,0.5,45.5,0.5,100,2,-5,12.66666667,100,b10,
17.cisdl,5,28.5,26.7,1.05,0,1.5,0.5,47,0.5,100,8,-4,12.66666667,100,b10,
17.cisdl,6,28.5,26.7,1.02,0,1.5,0.5,45.5,0.5,100,9,-4,12.5,100,b10,
17.cisdl,7,28.5,26.7,1.03,0,1.5,0,45,0.5,100,13,-4,12.33333333,100,b10,
17.cisdl,8,28.5,26.8,0.97,0,1.5,0.5,46,0.5,100,15,1,12.33333333,100,b10,
17.cisdl,9,28.5,26.7,1.07,0,1.5,1,44.5,0.5,100,19,9,12.83333333,100,b10,
17.cisdl,10,28.5,26.7,1.04,0,1.5,1,45,0.5,100,21,10,12.33333333,100,b10,
17.cisdl,11,28.5,26.7,1.13,0,1.5,0,42,0.5,100,12,8,12.5,100,b10,
17.cisdl,12,28.5,26.7,1.08,0,1.5,0.5,45.5,0.5,100,12,4,12.5,100,b10,
17.cisdl,13,28.5,26.7,1.03,0,1.5,0.5,45,0.5,100,15,0,12,100,b10,
17.cisdl,14,28.5,26.8,1.08,0,1.5,0.5,44,0.5,100,14,4,12.16666667,100,b10,
17.cisdl,15,28.5,26.7,1.11,0,1.5,0.5,43,0.5,100,15,7,12.5,100,b10,
17.cisdl,16,28.5,26.7,1.06,0,1.5,0.5,43.5,0.5,100,14,7,12.33333333,100,b10,
17.cisdl,17,28.5,26.7,1.1,0,1.5,0.5,46,0.5,100,13,6,12.66666667,100,b10,
17.cisdl,18,28.5,26.8,1.02,0,1.5,0.5,45.5,0.5,100,13,5,11.83333333,100,b10,
17.cisdl,19,28.5,26.8,1.07,0,1.5,1,46,0.5,100,8,5,11.83333333,100,b10,
17.cisdl,20,28.5,26.7,1.06,0,1.5,0,45,0.5,100,18,-1,11.66666667,100,b10,
17.cisdl,21,28.5,26.7,1.05,0,1.5,0.5,45.5,0.5,100,20,-3,11.66666667,100,b10,
17.cisdl,22,28.5,26.8,1.03,0,1.5,0.5,48,0.5,100,7,-1,11.66666667,100,b10,
17.cisdl,23,28.5,26.7,1.02,0,1.5,0.5,45.5,0.5,100,12,-1,11.66666667,100,b10,
17.cisdl,24,28.5,26.7,1.05,0,1.5,0.5,46.5,0.5,100,7,0,13,100,b10,
17.cisdl,25,28.5,26.7,1.04,0,1.5,0.5,46,0.5,100,6,-4,13,100,b10,
17.cisdl,26,28.5,26.7,1.1,0,1.5,0,46,0.5,100,4,1,13.16666667,100,b10,
17.cisdl,27,28.5,26.7,1.08,0,1.5,0.5,44,0.5,100,4,0,13.66666667,100,b10,
17.cisdl,28,28.5,26.7,0.98,0,1.5,1,48,0.5,100,1,-6,13.16666667,100,b10,
17.cisdl,29,28.5,26.7,0.94,0,1.5,0.5,48,0.5,100,9,-3,13.33333333,100,b10,
17.cisdl,30,28.5,26.8,1,0,1.5,0.5,44.5,0.5,100,22,5,13,100,b10,
4.cisdl,1,28.5,26.4,7.8,10.5,3,6,47,0.5,100,1,-4,12.83333333,100,b10,
4.cisdl,2,28.5,26.3,9.84,10.71,3,5.5,45.5,0.5,100,1,-5,12.5,100,b10,
4.cisdl,3,28.5,26.3,11.21,10.94,3.5,9,46.5,0.5,100,1,-4,12.5,100,b10,
4.cisdl,4,28.5,26.3,10.81,10.55,3.5,8.5,45.5,0.5,100,2,-4,12.33333333,100,b10,
4.cisdl,5,28.5,26.4,10.9,10.55,3.5,7.5,45,0.5,100,7,-4,12.33333333,100,b10,
4.cisdl,6,28.5,26.4,9.79,10.7,3.5,6.5,46,0.5,100,11,1,12.33333333,100,b10,
4.cisdl,7,28.5,26.5,11.64,11.31,3.5,8.5,44.5,0.5,100,16,7,12.66666667,100,b10,
4.cisdl,8,28.5,26.5,9.75,9.77,3.5,7,44.5,0.5,100,16,9,12.16666667,100,b10,
4.cisdl,9,26.9,26.5,4.51,11.54,3,1,41.5,0.5,100,12,8,12.83333333,100,b0,
4.cisdl,10,28.5,26.4,16.79,9.86,3.5,11,44.5,0.5,100,9,5,12.33333333,100,b10,
4.cisdl,11,28.5,26.4,9.95,9.58,3.5,6.5,44,0.5,100,10,0,11.83333333,100,b10,
4.cisdl,12,28.5,26.4,10.91,10.85,3.5,4,44,0.5,100,11,4,12.16666667,100,b10,
4.cisdl,13,28.5,26.5,10.46,11.01,3.5,3.5,43,0.5,100,11,7,12.33333333,100,b10,
4.cisdl,14,26.9,26.5,8.33,10.38,3,2,43,0.5,100,11,7,12.33333333,100,b0,
4.cisdl,15,27.4,26.4,12.45,11.01,3,11,43.5,0.5,100,10,6,12.16666667,100,b0,
4.cisdl,16,28.6,26.4,10.01,9.63,3.5,6.5,45,0.5,100,12,4,11.66666667,100,b10011,
4.cisdl,17,28.5,26.4,10.53,10.48,3.5,4,44.5,0.5,100,8,5,11.83333333,100,b10,
4.cisdl,18,28.5,26.4,10.32,9.96,3.5,6.5,44.5,0.5,100,10,-1,11.66666667,100,b10,
4.cisdl,19,28.5,26.4,10.44,10.38,3.5,7,45,0.5,100,11,-2,11.5,100,b10,
4.cisdl,20,28.5,26.4,10.45,10.31,3.5,11,48,0.5,100,6,-1,11.5,100,b10011,
4.cisdl,21,28.5,26.4,10.65,10.32,3.5,9.5,44,0.5,100,10,-1,11.5,100,b10,
4.cisdl,22,28.5,26.4,16.62,10.59,3.5,12,46,0.5,100,6,0,13,100,b10,
4.cisdl,23,28.5,26.4,11.22,11.08,3.5,4.5,45.5,0.5,100,5,-3,13,100,b10,
4.cisdl,24,27.1,26.4,3.83,11.31,3,3,43,0.5,100,3,1,13.16666667,100,b0,
4.cisdl,25,27,26.4,5.52,11.66,3,1.5,43.5,0.5,100,3,0,13.5,100,b0,
4.cisdl,26,28.5,26.3,17.65,10.38,3,13,47,0.5,100,0,-4,13,100,b10,
4.cisdl,27,28.5,26.4,10.91,11.21,3.5,12,46,0.5,100,5,-3,13.16666667,100,b10,
4.cisdl,28,28.5,26.4,8.91,9.73,3.5,7,44,0.5,100,14,2,12.66666667,100,b10,
4.cisdl,29,28.5,26.5,6,8.82,3.5,2.5,46.5,0.5,100,12,3,13,100,b10011,
4.cisdl,30,28.5,26.4,8.62,11.5,3.5,7,46,0.5,100,4,-3,13.16666667,100,b10,
